Date and Time of initial call,Date and time of Ranger response,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
06/24/2021 10:00:00 AM,06/24/2021 11:00:00 AM,Haffen Park,Haffen Pool,Sparrow,Central,Native,Healthy,1.75,Infant,Birds,311-06714879,Rehabilitator,4,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/23/2021 02:30:00 PM,06/23/2021 02:30:00 PM,Pelham Bay Park,Pelham Bay South,White-tailed Deer,Employee,Native,N/A,1,Juvenile,Deer,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/21/2021 08:50:00 AM,06/21/2021 03:50:00 PM,Van Cortlandt Park,Van Cortlandt Lake and its trails,Double-crested Cormorant,"Conservancies/""Friends of"" Groups",Native,Healthy,0.75,Adult,Birds,311-06684-300,Monitored Animal,1,FALSE,TRUE,NA,3,FALSE,FALSE,NA
06/21/2021 08:50:00 AM,06/21/2021 09:05:00 AM,Van Cortlandt Park,Adjacent to Golf Clubhouse past golf cart parking,Double-crested Cormorant,"Conservancies/""Friends of"" Groups",Native,Injured,0.3,Adult,Birds,N/A,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/19/2021 09:15:00 AM,06/19/2021 09:15:00 AM,Van Cortlandt Park,Van Cortlandt Pool,Raccoon,Employee,Native,Healthy,0.5,Juvenile,Small Mammals-RVS,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/18/2021 04:00:00 PM,06/18/2021 04:05:00 PM,Crotona Park,Behind Crotona Park Nature Center,Argentine Black and White Tegu,Employee,Exotic,Unhealthy,10,Adult,Terrestrial Reptile or Amphibian,311-06646388,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,119570
06/16/2021 05:20:00 PM,06/16/2021 05:20:00 PM,Van Cortlandt Park,Mosholu Avenue/ Broadway,Red-tailed Hawk,Employee,Native,Injured,2.5,Adult,Raptors,311-0662-4220,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
06/12/2021 12:45:00 PM,06/12/2021 01:55:00 PM,Bill Rainey Park,Bill Rainey Park Public Restrooms,Cat,Employee,Domestic,Healthy,0.5,Juvenile,Domestic,NA,Advised/Educated others,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/12/2021 12:15:00 PM,06/12/2021 12:30:00 PM,Mullaly Park,Mullaly Park North Ballfields,Common Snapping Turtle,Employee,Native,Healthy,4,Adult,Terrestrial Reptile or Amphibian,311-06574202,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/11/2021 04:00:00 PM,06/11/2021 04:15:00 PM,Van Cortlandt Park,Van Cortlandt Park Lake by the golf house,Domestic Duck,Public,Domestic,Healthy,1,Juvenile,Domestic;#Birds,31106566589,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
06/11/2021 03:30:00 PM,06/11/2021 03:30:00 PM,Van Cortlandt Park,Van Cortlandt House Museum,Bat (Unknown),"Conservancies/""Friends of"" Groups",Native,Healthy,0.25,Adult,Small Mammals-RVS,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/06/2021 10:58:00 AM,06/06/2021 11:00:00 AM,Bailey Playground,In the playground,Rock Dove,Central,Native,Healthy,0.75,Adult,Birds,NA,Monitored Animal,2,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
01/04/2021 01:30:00 PM,01/04/2021 01:40:00 PM,Crotona Park,Outside M&O Office,Cat,Employee,Domestic,Injured,0.5,Adult,Domestic,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/05/2021 09:30:00 AM,06/05/2021 09:40:00 AM,Raoul Wallenberg Forest,Southwest Entrance,Raccoon,Central,Native,Injured,1,Adult,Small Mammals-RVS,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/02/2021 10:00:00 AM,06/02/2021 10:00:00 AM,Van Cortlandt Park,Van Cortlandt Nature Center,Barn Swallow,Observed by Ranger,Native,Healthy,2,Adult,Birds,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/02/2021 01:00:00 PM,06/02/2021 01:00:00 PM,Van Cortlandt Park,Van Cortlandt Nature Center,Bird (Unknown),Public,N/A,N/A,0.25,Infant,Birds,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/01/2021 01:15:00 PM,06/01/2021 01:16:00 AM,Ranaqua Park,Ranaqua Garage,Cat,Employee,Domestic,Injured,2,Adult,Domestic,311-06451554,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,161016
05/31/2021 09:30:00 AM,05/31/2021 09:34:00 AM,Bronx Park,By the playground off East 180th Street and Boston Road,Chicken,Central,Domestic,Healthy,1.5,Adult,Domestic;#Birds,311-06434744,ACC,3,FALSE,FALSE,NA,NA,FALSE,FALSE,160938
05/31/2021 12:00:00 PM,05/31/2021 12:30:00 PM,Ranaqua Park,Bay 18,Cat,Central,Domestic,Injured,1,Adult,Domestic,NA,Advised/Educated others,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
05/27/2021 08:30:00 AM,05/27/2021 08:30:00 AM,Van Cortlandt Park,Barbecue area at 241st street,Raccoon,Employee,Native,Healthy,0.5,Juvenile,Small Mammals-RVS,NA,Relocated/Condition Corrected,2,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
05/26/2021 12:00:00 PM,05/26/2021 12:03:00 PM,Van Cortlandt Park,Field behind nature center,Red-Eared Slider,Employee,Invasive,Healthy,0.25,Adult,Marine Reptiles,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
05/26/2021 09:20:00 AM,05/26/2021 09:22:00 AM,Van Cortlandt Park,Meadow behind VC House,Bearded Dragon,Employee,Exotic,Healthy,1,Adult,Terrestrial Reptile or Amphibian,311-06391739,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,160466
05/25/2021 10:56:00 AM,05/25/2021 10:58:00 AM,Pelham Bay Park,Orchard Beach Drop-off Road,Canada Goose,Central,Native,Healthy,3.25,Infant,Birds,311-06381444,Rehabilitator,3,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
