Date and Time of initial call,Date and time of Ranger response,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
06/23/2021 04:45:00 PM,06/24/2021 08:00:00 AM,Sternberg Park,Inside locked athletic field under construction,Chukar,Other,Exotic,Healthy,6,Adult,Birds,311-06712416,ACC,6,FALSE,FALSE,NA,NA,FALSE,FALSE,163537
06/22/2021 03:30:00 PM,06/22/2021 03:30:00 PM,Prospect Park,V/O Drummers Circle,Dog,Employee,Domestic,Injured,0.5,Juvenile,Domestic,NA,ACC,1,TRUE,FALSE,NA,NA,FALSE,FALSE,NA
06/22/2021 11:30:00 AM,06/22/2021 12:00:00 PM,Marine Park,Salt Marsh Nature Trail,Domestic Rabbit,Employee,Domestic,Healthy,2,Adult,Domestic,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/16/2021 12:00:00 PM,06/16/2021 01:00:00 PM,Prospect Park,Prospect Lake near LeFrak Center,Domestic Duck,"Conservancies/""Friends of"" Groups",Domestic,Unhealthy,2,Adult,Domestic;#Birds,311-06621675,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,119360
06/16/2021 10:15:00 AM,06/16/2021 10:45:00 AM,Red Hook Recreation Area,Clinton Street south of Bay Street,Raccoon,Central,Native,Healthy,1,Juvenile,Small Mammals-RVS,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/11/2021 12:00:00 PM,06/16/2021 12:30:00 PM,Canarsie Park,By parkhouse,Cat,Employee,Domestic,Healthy,2,Adult,Domestic,311-06564233,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/15/2021 10:30:00 AM,06/15/2021 10:45:00 AM,Bensonhurst Park,Athletic Field,Canada Goose,Central,Native,Injured,1,Adult,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/14/2021 11:00:00 AM,06/14/2021 11:15:00 AM,Prospect Park,South shore of Lake,Canada Goose,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Birds,311-06598366,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
06/14/2021 12:15:00 PM,06/14/2021 12:30:00 PM,Parade Ground,Erasmus Hall Educational Campus,Red-tailed Hawk,Central,Native,Healthy,1,Juvenile,Raptors,311-06597894,Advised/Educated others,1,FALSE,TRUE,NA,0.5,FALSE,FALSE,NA
06/10/2021 05:00:00 PM,06/10/2021 05:30:00 PM,Flatbush and Tilden Avenues,By Kings Theater,Red-tailed Hawk,Public,Native,Injured,3,Adult,Raptors,311-06556493,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
06/09/2021 02:30:00 PM,06/09/2021 02:30:00 PM,Prospect Park,East Drive V/O Zucker Playground,Eastern Gray Squirrel,Public,Native,DOA,0.5,Adult,Small Mammals-non RVS,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/07/2021 02:30:00 PM,06/07/2021 02:45:00 PM,Prospect Park,Near the Audubon Center,Common Grackle,Public,Native,Injured,2,Adult,Birds,311-06521707,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,118648
06/07/2021 10:45:00 AM,06/07/2021 11:00:00 AM,Leif Ericson Park,3rd Ave,American Kestrel,Public,Native,Injured,1,Juvenile,Raptors,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/07/2021 10:00:00 AM,06/07/2021 09:30:00 AM,Fort Greene Park,Washington and Willoughby,Canada Goose,Employee,Native,Injured,3,Adult,Birds,NA,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
06/03/2021 03:30:00 PM,06/03/2021 04:15:00 PM,Prospect Park,East Drive south of Zoo,Common Snapping Turtle,"Conservancies/""Friends of"" Groups",Native,Healthy,0.75,Adult,Terrestrial Reptile or Amphibian,NA,Relocated/Condition Corrected,1,FALSE,TRUE,NA,0.5,FALSE,FALSE,NA
06/03/2021 09:45:00 AM,06/03/2021 10:00:00 AM,Prospect Park,Long Meadow,Wood Duck,"Conservancies/""Friends of"" Groups",Native,Healthy,1.5,Infant,Birds,311-064-72247,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
06/01/2021 03:30:00 PM,06/01/2021 03:30:00 PM,Marine Park,Salt Marsh Nature Center,Diamondback Terrapin,Public,Native,Healthy,0.5,Infant,Terrestrial Reptile or Amphibian,NA,Relocated/Condition Corrected,3,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
05/28/2021 09:15:00 AM,05/28/2021 09:30:00 AM,Prospect Park,The Boathouse by the boat ramp,Mute Swan,Public,Invasive,Injured,1,Adult,Birds,311-06412112,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
05/27/2021 11:00:00 AM,05/28/2021 11:00:00 AM,Prospect Park,Duck Island,Canada Goose,Central,Native,Injured,1,Adult,Birds,NA,Monitored Animal,1,FALSE,TRUE,NA,0.5,FALSE,FALSE,NA
05/26/2021 04:30:00 PM,05/26/2021 04:45:00 PM,Red Hook Recreation Area,V/O Columbia Street Entrance,Bird (Unknown),Central,N/A,Injured,1,Adult,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
05/25/2021 04:45:00 PM,05/25/2021 05:00:00 PM,Purple Playground,Entrance on 17th St between 5th Ave and 6th Ave,Mouse (Unknown),Central,N/A,N/A,1,Infant,Small Mammals-non RVS,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
05/25/2021 10:30:00 AM,05/25/2021 10:30:00 AM,Prospect Park,South Drive,Turtle (Unknown),Public,N/A,N/A,0.5,Adult,Terrestrial Reptile or Amphibian,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
05/24/2021 04:00:00 PM,05/24/2021 04:00:00 PM,Prospect Park,By Boat House,House Sparrow,Public,Native,Healthy,0.25,Infant,Birds,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
05/24/2021 09:15:00 AM,05/24/2021 09:15:00 AM,Coney Island Beach &amp; Boardwalk,"Brighton 2, near the lifeguard stand",American Oystercatcher,Public,Native,N/A,1,Infant,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
05/23/2021 10:30:00 AM,05/23/2021 11:00:00 AM,Prospect Park,Lafayette Memorial,Bird (Unknown),"Conservancies/""Friends of"" Groups",Native,Healthy,0.5,Infant,Birds,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
05/23/2021 11:30:00 AM,05/23/2021 11:30:00 AM,Brooklyn Bridge Park,Pier 2,Common Grackle,Central,Native,Healthy,0.5,Infant,Birds,NA,Relocated/Condition Corrected,1,TRUE,FALSE,NA,NA,FALSE,FALSE,NA
