Date and Time of initial call,Date and time of Ranger response,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
06/22/2021 11:30:00 AM,06/22/2021 11:30:00 AM,Highbridge Park,Coogan's Bluff Playground,Dog,Central,Domestic,N/A,0.75,Adult,Domestic,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/22/2021 12:00:00 PM,06/22/2021 12:00:00 PM,Inwood Hill Park,214th and Seaman Ave,Eastern Gray Squirrel,Employee,Native,Injured,0.5,Adult,Small Mammals-non RVS,NA,Advised/Educated others,1,FALSE,TRUE,NA,0.5,FALSE,FALSE,NA
06/21/2021 09:20:00 AM,06/21/2021 12:00:00 PM,Central Park,West 97 St entrance,Raccoon,Central,Native,Injured,0.5,Juvenile,Small Mammals-RVS,311- 06678452,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/20/2021 09:00:00 AM,06/20/2021 03:00:00 PM,Inwood Hill Park,Northwest edge of Gaelic Field,Common Snapping Turtle,Employee,Native,N/A,1,Adult,Terrestrial Reptile or Amphibian,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/19/2021 09:00:00 AM,06/19/2021 10:00:00 AM,Inwood Hill Park,Payson Visitor Center,Common Snapping Turtle,Employee,Native,Healthy,0.5,Adult,Terrestrial Reptile or Amphibian,NA,Relocated/Condition Corrected,1,FALSE,TRUE,NA,0.5,FALSE,FALSE,NA
06/17/2021 08:00:00 AM,06/17/2021 10:00:00 AM,Riverside Park,Entrance at Riverside Dr and West 108th St,Raccoon,Central,Native,Healthy,1,Juvenile,Small Mammals-RVS,311-06628837,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/17/2021 10:00:00 AM,06/17/2021 10:00:00 AM,William McCray Playground,playground cross street West 158th,American Kestrel,Central,Native,Injured,0.5,Juvenile,Raptors,311-06630118,Advised/Educated others,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/16/2021 10:13:00 AM,06/16/2021 10:32:00 AM,Central Park,Central Park Zoo,Raccoon,Employee,Native,Healthy,1,Infant,Small Mammals-RVS,NA,Relocated/Condition Corrected,2,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/15/2021 08:30:00 AM,06/15/2021 03:00:00 PM,Inwood Hill Park,Gaelic Field,Common Snapping Turtle,Employee,Native,Healthy,1,Adult,Terrestrial Reptile or Amphibian,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/14/2021 03:30:00 PM,06/14/2021 03:45:00 PM,Central Park,Central Park Arsenal,Domestic Duck,Central,Domestic,Healthy,2,Juvenile,Domestic;#Birds,311-06599987,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,119217
