Date and Time of initial call,Date and time of Ranger response,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
06/23/2021 09:20:00 AM,06/23/2021 09:20:00 AM,Judge Moses Weinstein Playground,Garbage can,Virginia Opossum,Central,Native,Healthy,2.25,Juvenile,Small Mammals-non RVS,311-06699415,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,119833
06/22/2021 03:00:00 PM,06/22/2021 03:00:00 PM,Travers Park,78th Street Plaza,Cat,Public,Domestic,Unhealthy,1,Adult,Domestic,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/22/2021 11:55:00 AM,06/22/2021 11:55:00 AM,Forest Park,Giovanelli Playground,Eastern Rat Snake,Central,Native,Healthy,2,Juvenile,Terrestrial Reptile or Amphibian,311-06691186,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/21/2021 02:02:00 PM,06/21/2021 02:02:00 PM,Queens Botanical Garden,Education building,Northern Cardinal,Central,Native,Injured,2.75,Juvenile,Birds,311-06682248,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
06/20/2021 02:30:00 PM,06/20/2021 02:45:00 PM,Udall's Park Preserve,Trail off of 247th St and 40th Ave,Chicken,Central,Domestic,Unhealthy,2,Adult,Domestic;#Birds,311-06668041,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,119706
06/19/2021 02:00:00 PM,06/19/2021 03:00:00 PM,Rockaway Beach and Boardwalk,On Beach 109th St,Dog,Central,Domestic,Healthy,3,Adult,Domestic,311-0665718,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,119644
06/17/2021 03:40:00 PM,06/17/2021 03:40:00 PM,Flushing Meadows Corona Park,Fountain of the Planets,Mallard Duck,Employee,Native,DOA,1.5,Adult,Birds,311-06634743,Submitted for DEC Testing,12,TRUE,FALSE,NA,NA,FALSE,FALSE,NA
06/15/2021 03:20:00 PM,06/15/2021 04:15:00 PM,Rockaway Beach and Boardwalk,Beach 43rd Street,Dog,Central,Domestic,N/A,1.5,Adult,Domestic,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/13/2021 02:10:00 PM,06/13/2021 02:12:00 PM,Flushing Meadows Corona Park,Near the Queens Zoo,Rock Dove,Employee,Native,Injured,2.5,Adult,Birds,311-06588447,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,119146
06/13/2021 10:30:00 AM,06/13/2021 11:39:00 AM,Alley Pond Park,Oakland Lake,Red-Eared Slider,Central,Invasive,DOA,1,Adult,Terrestrial Reptile or Amphibian,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/13/2021 01:20:00 PM,06/13/2021 01:40:00 PM,Highland Park,Path west of the Ridgewood Reservoir,Raccoon,Employee,Native,Healthy,1,Adult,Small Mammals-RVS,NA,Monitored Animal,1,FALSE,TRUE,NA,0.75,FALSE,FALSE,NA
06/12/2021 12:00:00 PM,06/12/2021 01:10:00 PM,Astoria Park,Hoyt Ave N and 19th Street,Red-tailed Hawk,Central,Native,Injured,3,Juvenile,Raptors,NA,Rehabilitator,1,FALSE,FALSE,Bobby Horvath,NA,TRUE,FALSE,NA
06/10/2021 05:50:00 PM,06/10/2021 05:54:00 PM,Flushing Meadows Corona Park,Base of the Unisphere,Red-tailed Hawk,Central,Native,Injured,1.5,Juvenile,Raptors,311-06555702,Rehabilitator,1,FALSE,FALSE,Bobby Horvath,NA,FALSE,FALSE,NA
06/09/2021 11:24:00 AM,06/09/2021 02:00:00 PM,Alley Pond Park,Oakland Lake,Chicken,Central,Domestic,Healthy,1,Adult,Domestic;#Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/09/2021 12:00:00 PM,06/09/2021 12:30:00 PM,406 Woodward Avenue,Found behind fence,American Kestrel,Public,Native,Injured,4,Juvenile,Raptors,311-06543897,Rehabilitator,1,FALSE,FALSE,Bobby Horvath,NA,FALSE,FALSE,NA
06/06/2021 01:00:00 PM,06/06/2021 01:10:00 PM,Rockaway Beach and Boardwalk,Rockaway Beach 124th Street,Herring Gull,Central,Native,Injured,2.5,Adult,Birds,3-11-06505650,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,118580
06/05/2021 12:00:00 PM,06/05/2021 01:30:00 PM,Rockaway Beach and Boardwalk,Beach 86th Street and Boardwalk,Laughing Gull,Employee,Native,Injured,3,Adult,Birds,311-06494215,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,118526
06/05/2021 11:02:00 AM,06/05/2021 11:05:00 AM,Rockaway Beach and Boardwalk,Boardwalk and B108th,Diamondback Terrapin,Employee,Native,Healthy,0.25,Infant,Terrestrial Reptile or Amphibian,NA,Advised/Educated others,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/03/2021 05:30:00 PM,06/03/2021 05:31:00 PM,Forest Park,Skate Park,Blue Jay,Public,Native,Healthy,0.25,Infant,Birds,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/03/2021 01:00:00 PM,06/03/2021 01:15:00 PM,Kissena Park,Kissena Lake,Mute Swan,Central,Invasive,Healthy,1.5,Adult,Birds,NA,Monitored Animal,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/03/2021 09:15:00 AM,06/03/2021 11:00:00 AM,Cunningham Park,"Garage, lawnmower area",Raccoon,Central,Native,Healthy,1,Adult,Small Mammals-RVS,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
