Date and Time of initial call,Date and time of Ranger response,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
06/23/2021 01:00:00 PM,06/23/2021 01:10:00 PM,Willowbrook Park,The carousel,Raccoon,Employee,Native,N/A,2,Adult;#Juvenile,Small Mammals-RVS,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/23/2021 09:00:00 AM,06/23/2021 09:10:00 AM,Clove Lakes Park,Martling Pond on shore,Domestic Duck,Employee,Domestic,Healthy,1.25,Adult,Domestic;#Birds,311-06700321,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,119822
06/23/2021 05:30:00 AM,06/23/2021 08:20:00 AM,Willowbrook Park,Pond,Canada Goose,Employee,Native,Injured,0.5,Juvenile,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/21/2021 02:45:00 PM,06/21/2021 02:50:00 PM,Franklin D. Roosevelt Boardwalk and Beach,PEP Trailer,Mallard Duck,Employee,Native,Healthy,1.5,Infant,Birds,311-06684155,ACC,1,TRUE,FALSE,NA,NA,FALSE,FALSE,52440
06/13/2021 01:59:00 PM,06/13/2021 02:05:00 PM,Clove Lakes Park,Brooke's Pond,Catfish,Employee,Native,DOA,1,Adult;#Juvenile,Fish-numerous quantity,NA,Advised/Educated others,12,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/12/2021 03:00:00 PM,06/12/2021 03:00:00 PM,Lemon Creek Park,Rocks under bridge that is behind playground,Canada Goose,Observed by Ranger,Native,Healthy,0.1,Infant,Birds,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/10/2021 04:20:00 PM,06/10/2021 04:45:00 PM,High Rock Park,Altamount House,Canada Goose,Employee,Native,Healthy,3,Infant,Birds,311-06555451,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
06/05/2021 10:50:00 PM,06/07/2021 10:45:00 AM,Snug Harbor Cultural Center,Green/Boat Pond,Mallard Duck,Employee,Native,Injured,0.35,Adult,Birds,NA,Monitored Animal,1,FALSE,TRUE,NA,0.25,FALSE,FALSE,NA
06/07/2021 09:00:00 AM,06/07/2021 10:00:00 AM,Clove Lakes Park,Royal Oak Circle,Common Snapping Turtle,Employee,Native,Healthy,0.75,Adult,Terrestrial Reptile or Amphibian,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/04/2021 12:00:00 PM,06/04/2021 12:00:00 PM,Clove Lakes Park,Martling Ave and Slosson Ave,Raptor (Unknown),Central,Native,Unhealthy,1,Adult,Raptors,31106480251,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
